Titlu,Autor,Editura,Categorie
Poveste de Crăciun,Charles Dickens,Arthur,Beletristica
Ben-Hur,Lewis Wallace,Hoffman,Beletristica
Jurnalul Annei Frank,Anna Frank,Humanitas,Beletristica
Zbor deasupra unui cuib de cuci,Ken Kesey,Polirom,Beletristica
Crimă și pedeapsă,F. Dostoievski,Polirom,Beletristica
Utopia,Thomas Morus,Mondero,Beletristica
Principele,Niccolo Machiavelli,Humanitas,Beletristica
Străinul,Albert Camus,Polirom,Beletristica
Împăratul muștelor,William Golding,Humanitas,Beletristica
Contorsionista,T. O. Bobe,Humanitas,Beletristica
Copilărie. Scene de viaţă provincială,J. M. Coetzee,Humanitas,Beletristica
Cum vrea Dumnezeu,Niccolo Ammaniti,Humanitas,Beletristica
Un atlas al dorinţelor zadarnice,Anuradha Roy,Humanitas,Beletristica
Pe urmele lui Alice,Clare Naylor,Humanitas,Beletristica
Elefantul a dispărut,Haruki Murakami,Polirom,Beletristica
Celelalte povești de dragoste,Lucian Dan Teodorovici,Polirom,Beletristica
Fantoma iese din scenă,Philip Roth,Polirom,Beletristica
O casă la capătul lumii,Michael Cunningham,Polirom,Beletristica
Corecții,Jonathan Franzen,Polirom,Beletristica
Bufnița oarbă,Sadegh Hedayat,Polirom,Beletristica
Sabotaj din iubire,Amelie Nothomb,Polirom,Beletristica
Biblia din neon,John Kennedy Toole,Polirom,Beletristica
Lumina zilei,Graham Swift,Polirom,Beletristica
Copiii lui Hansen,Ognjen Spahic,Polirom,Beletristica
Luminița, mon amour,Cezar Paul- Bădescu,Polirom,Beletristica
Lumina dintre oceane,M. L. Stedman,Polirom,Beletristica
Strania călătorie a domnului Daldry,Mark Levy,Trei,Beletristica
Jurământ de rătăcire,Ana Barton,Herg Benet,Beletristica
Cu ochii larg deschiși,Julian Barnes,Nemira,Arta
Cum se savurează un tablou și alte studii de istoria artei,Victor Ieronim Stoichiţă,Humanitas,Arta
Despre fotografie,Susan Sontag,Vellant,Arta
Dincolo de linii. Colorează 119 lucrări de artă contemporană,Souris Hong,Publica,Arta





































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































